,Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt)
254,2014,2.0S,119.2E,27.2,16.9,15,-6.9,-3.5,29000000000,0.1
255,2014,43.7S,85.7E,,,,,,39000000000,0.13
256,2014,3.2N,137.2E,32.5,,,,,28000000000,0.098
257,2014,22.7N,150.0W,,,,,,35000000000,0.12
258,2014,6.2S,49.9W,,,,,,26000000000,0.092
259,2014,3.2N,45.4W,,,,,,34000000000,0.12
260,2014,61.7S,132.6E,22.2,16.2,-2.3,5.7,16.5,3.82E+12,7.6
261,2014,49.2S,172.2W,,,,,,73000000000,0.23
262,2014,33.9S,115.9W,,,,,,53000000000,0.17
263,2014,18.9N,141.2E,26.3,12.4,12,3.5,-10.5,2.45E+11,0.67
264,2014,71.5S,93.4E,28.5,11.2,7,2.9,8.3,61000000000,0.2
265,2014,21.9N,131.1W,28.7,,,,,58000000000,0.19
266,2014,39.4S,95.9W,30.8,18,2.9,13.4,-12.5,1.36E+11,0.4
267,2014,44.2S,176.2W,44,16.5,14.4,4.6,6.5,3.09E+11,0.82
268,2014,36.9S,87.3E,35.4,19,-2,-16.1,9.9,1.05E+12,2.4
269,2014,28.7S,121.5E,30.7,16.3,10,-12.7,2.2,39000000000,0.13
270,2014,0.0N,111.8W,30.5,,,,,5.4E+11,1.3
271,2014,29.0S,94.9W,,,,,,94000000000,0.29
272,2014,32.8S,61.5W,,,,,,26000000000,0.092
273,2014,13.3N,110.7W,25,,,,,6.3E+11,1.5
274,2014,18.5S,141.8E,29.6,,,,,1.4E+11,0.41
275,2014,2.9N,64.4E,37,16.2,-5.2,-15.1,2.6,78000000000,0.24
276,2014,1.3S,147.6E,18.7,44.8,-3.4,-43.5,-10.3,31000000000,0.11
277,2013,39.5N,2.0E,34.3,15.1,-1.1,11.4,-9.9,1.47E+11,0.43
278,2013,32.8N,165.1W,23.5,11.8,2.3,2.5,-11.3,64000000000,0.2
279,2013,44.7N,35.3E,59.3,12.4,-5,-11,-2.7,75000000000,0.23
280,2013,19.1S,25.0W,22.2,12.8,-8,8.4,-5.5,1.61E+12,3.5
281,2013,10.3S,164.7W,40.7,,,,,1.6E+11,0.46
282,2013,34.4S,118.2E,66.6,,,,,44000000000,0.15
283,2013,31.8S,137.1E,29.1,17.8,17.7,-2.3,-0.1,69000000000,0.22
284,2013,50.2S,90.2E,25.6,18.8,15.9,-8.6,5.1,3.9E+11,1
285,2013,0.3N,156.2E,26.5,22.1,16,14.9,-3.3,1.2E+11,0.36
286,2013,21.0N,178.5W,37,,,,,20000000000,0.073
287,2013,65.6S,138.4E,28.9,,,,,34000000000,0.12
288,2013,3.0S,76.4E,,,,,,20000000000,0.073
289,2013,35.5N,30.7W,21.2,12.1,1,9,-8,5.11E+12,10
290,2013,28.1S,64.6W,40.7,14.9,5,14,1,1.07E+12,2.5
291,2013,32.7S,17.1E,26,,,,,29000000000,0.1
292,2013,23.0S,38.8W,,13.6,-11,-8,-1,32000000000,0.1
293,2013,54.8N,61.1E,23.3,18.6,12.8,-13.3,-2.4,3.75E+14,440
294,2013,18.8S,158.6W,,,,,,65000000000,0.21
295,2013,60.3N,64.6W,,,,,,3.4E+12,6.9
296,2013,15.1S,155.6W,36.1,,,,,48000000000,0.16
297,2012,17.3N,83.6W,,,,,,1.98E+11,0.55
298,2012,2.5N,29.6E,33.3,14.3,-12.2,-5.3,5.3,25000000000,0.089
299,2012,8.0S,86.0W,,,,,,1.2E+11,0.36
300,2012,75.4S,49.6E,29.3,13.2,-2.3,-3.9,12.4,23000000000,0.082
301,2012,51.2N,84.6W,27.8,13.5,3.4,12,5.1,2.1E+11,0.58
302,2012,41.5S,21.9W,,17,-2.4,5.5,15.9,2.8E+11,0.75
303,2012,8.1S,111.9W,35,15.4,1.4,15.3,1,4.7E+11,1.2
304,2012,6.9S,73.7E,,,,,,38000000000,0.13
305,2012,1.2N,52.2W,28.1,18.3,-1.9,14.1,-11.5,2.44E+11,0.67
306,2012,18.9S,105.2E,,,,,,52000000000,0.17
307,2012,69.8S,111.7W,23.8,16.9,-10.2,-5.2,12.4,23000000000,0.082
308,2012,18.3S,64.2E,38.7,28.9,-8,-23.7,-14.5,68000000000,0.22
309,2012,11.8N,117.0E,36,12.7,5,-11.6,-0.7,2.49E+11,0.68
310,2012,63.1N,172.3E,27.2,,,,,34000000000,0.12
311,2012,36.4N,41.5E,26.8,18.5,0.8,2,-18.4,1.33E+11,0.39
312,2012,41.8S,36.2W,,,,,,60000000000,0.19
313,2012,61.8S,135.5W,33.3,17.1,-0.8,1.1,17,1.32E+11,0.39
314,2012,76.7N,10.6W,,,,,,2.29E+11,0.63
315,2012,36.2N,107.4E,25.2,,,,,44000000000,0.15
316,2012,15.8S,174.8W,,,,,,1.43E+11,0.42
317,2012,5.5N,16.8E,,,,,,30000000000,0.1
318,2012,28.1N,95.2W,,,,,,32000000000,0.11
319,2012,2.5N,139.8E,25,11.8,0.1,-11.8,0.3,99000000000,0.3
320,2012,7.8N,2.7E,20.4,,,,,1.01E+11,0.31
321,2012,46.9N,29.8W,,,,,,22000000000,0.079
322,2012,22.7S,30.8E,,,,,,37000000000,0.13
323,2012,3.2S,39.9W,45.6,,,,,1.54E+11,0.44
324,2012,31.7S,54.9E,61,,,,,1.4E+11,0.41
325,2012,32.4N,0.1E,34.2,12.2,-3.9,10.9,4,1.5E+11,0.43
326,2012,64.1S,109.9E,26.3,12.3,-1.9,5.1,11,21000000000,0.076
327,2012,32.2N,88.5E,,,,,,85000000000,0.26
328,2011,30.2S,52.6E,36.1,,,,,1.35E+11,0.4
329,2011,62.9S,89.6E,32.4,,,,,50000000000,0.16
330,2011,27.9S,116.3E,,,,,,23000000000,0.082
331,2011,26.4S,78.4W,,,,,,36000000000,0.12
332,2011,19.9S,13.8W,21.3,16.7,-3.7,1.8,16.2,67000000000,0.21
333,2011,18.6N,5.1W,,,,,,27000000000,0.095
334,2011,27.2S,2.8W,,,,,,23000000000,0.082
335,2011,40.7S,86.7W,63,,,,,28000000000,0.098
336,2011,45.3S,63.5E,29.6,,,,,44000000000,0.15
337,2011,29.1N,139.7E,40.7,,,,,65000000000,0.21
338,2011,51.7S,175.0E,,,,,,29000000000,0.1
339,2011,67.3N,21.4W,40.5,,,,,24000000000,0.086
340,2011,4.1N,14.0E,59,11.6,-3.4,-10.8,2.4,2.28E+12,4.8
341,2011,1.2S,92.8E,,,,,,20000000000,0.073
342,2011,1.4N,126.6W,28.7,,,,,2.2E+11,0.61
343,2011,71.1N,43.5W,22.2,12.7,3.3,11.8,-3.5,1.48E+11,0.43
344,2011,0.6N,127.5W,59,,,,,58000000000,0.19
345,2011,16.8S,85.6W,,,,,,22000000000,0.079
346,2011,53.5N,103.9E,30.6,11.9,-6.7,-1.1,-9.8,37000000000,0.13
347,2011,26.3N,43.7E,44.4,18,10.3,-14.8,0.1,39000000000,0.13
348,2011,7.8N,95.3W,,,,,,20000000000,0.073
349,2011,18.9N,44.6W,61,,,,,72000000000,0.23
